,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,engine_unit,max_power_unit,mileage_unit
25,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0,CC,bhp,kmpl
26,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,172.5Nm@ 1750rpm,7.0,CC,bhp,kmpl
28,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5.0,CC,bhp,kmpl
29,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59Nm@ 2500rpm,8.0,CC,bhp,kmpl
30,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
32,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5.0,CC,bhp,kmpl
33,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
34,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
35,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,60Nm@ 3500rpm,4.0,CC,bhp,km/kg
36,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
37,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5.0,CC,bhp,kmpl
38,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,104Nm@ 4000rpm,5.0,CC,bhp,kmpl
39,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,320Nm@ 1700-2700rpm,7.0,CC,bhp,kmpl
40,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,CC,bhp,kmpl
41,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,250Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
42,Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,145Nm@ 4600rpm,5.0,CC,bhp,kmpl
43,Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,146Nm@ 4800rpm,5.0,CC,bhp,kmpl
44,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,115Nm@ 4000rpm,5.0,CC,bhp,kmpl
45,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
46,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
47,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7.0,CC,bhp,kmpl
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,200Nm@ 1400-3400rpm,7.0,CC,bhp,kmpl
49,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,200Nm@ 1250-4000rpm,5.0,CC,bhp,kmpl
50,Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
51,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,400Nm@ 2000-2500rpm,7.0,CC,bhp,kmpl
52,Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
53,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,138Nm@ 4400rpm,5.0,CC,bhp,kmpl
54,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
55,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7.0,CC,bhp,kmpl
56,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,7.0,CC,bhp,kmpl
57,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,380Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
58,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,173Nm@ 4000rpm,5.0,CC,bhp,kmpl
59,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,400Nm@ 1750-3000rpm,5.0,CC,bhp,kmpl
60,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,CC,bhp,kmpl
61,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,200Nm@ 1750-3000rpm,5.0,CC,bhp,kmpl
62,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
63,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,219.6Nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
64,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
65,Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,112Nm@ 4000rpm,5.0,CC,bhp,kmpl
66,Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0,CC,bhp,kmpl
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,250Nm@ 1500-3000rpm,5.0,CC,bhp,kmpl
68,Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
69,Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
70,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,250Nm@ 1500-3000rpm,5.0,CC,bhp,kmpl
71,Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
72,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
73,Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
74,Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
75,Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7.0,CC,bhp,kmpl
76,Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
77,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0,CC,bhp,kmpl
79,Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5.0,CC,bhp,kmpl
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8.0,CC,bhp,kmpl
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205Nm@ 1750-3250rpm,5.0,CC,bhp,kmpl
82,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,280Nm@ 1350-4600rpm,5.0,CC,bhp,kmpl
83,Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
84,Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,104Nm@ 4000rpm,5.0,CC,bhp,kmpl
85,Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
86,Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
88,Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5.0,CC,bhp,kmpl
89,Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5.0,CC,bhp,kmpl
90,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,77Nm@ 3500rpm,5.0,CC,bhp,km/kg
91,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,110Nm@ 3750rpm,5.0,CC,bhp,kmpl
92,Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5.0,CC,bhp,kmpl
93,Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,153Nm@ 3800rpm,5.0,CC,bhp,kmpl
94,Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
95,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
96,Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
97,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,114Nm@ 4000rpm,5.0,CC,bhp,kmpl
98,Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,CC,bhp,kmpl
99,Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
100,Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
101,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,200Nm@ 1750-3000rpm,5.0,CC,bhp,kmpl
102,Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0,CC,bhp,kmpl
103,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,101Nm@ 3000rpm,7.0,CC,bhp,kmpl
104,Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0,CC,bhp,kmpl
105,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,290Nm@ 1800-2800rpm,8.0,CC,bhp,kmpl
106,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,120Nm@ 4250rpm,5.0,CC,bhp,kmpl
107,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5.0,CC,bhp,kmpl
108,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,250Nm@ 1500~4500rpm,5.0,CC,bhp,kmpl
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,96 Nm at 3000 rpm,5.0,CC,bhp,kmpl
110,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,360Nm@ 1750-2800rpm,7.0,CC,bhp,kmpl
111,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135Nm@ 2500rpm,5.0,CC,bhp,kmpl
112,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5.0,CC,bhp,kmpl
113,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,219.6Nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
114,Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,173Nm@ 4000rpm,5.0,CC,bhp,kmpl
115,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
116,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
117,Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0,CC,bhp,kmpl
118,Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
120,Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,200Nm@ 1900rpm,5.0,CC,bhp,kmpl
121,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,CC,bhp,kmpl
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205Nm@ 1750-3250rpm,5.0,CC,bhp,kmpl
123,Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
124,Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91Nm@ 4250rpm,5.0,CC,bhp,kmpl
125,Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
126,Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,CC,bhp,kmpl
127,Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0,CC,bhp,kmpl
128,Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,96.1Nm@ 3000rpm,5.0,CC,bhp,kmpl
129,Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0,CC,bhp,kmpl
130,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,109Nm@ 4500rpm,5.0,CC,bhp,kmpl
131,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,400nm@ 1750-3000rpm,5.0,CC,bhp,kmpl
132,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,202Nm@ 3600-5200rpm,5.0,CC,bhp,kmpl
133,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
134,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,347Nm@ 4300rpm,5.0,CC,bhp,kmpl
135,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,382nm@ 1750-2250rpm,7.0,CC,bhp,kmpl
136,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,620Nm@ 1600-2400rpm,5.0,CC,bhp,kmpl
137,BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,400Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
139,BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
140,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,250@ 1250-5000rpm,5.0,CC,bhp,kmpl
141,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0,CC,bhp,kmpl
142,MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,250Nm@ 1600-3600rpm,5.0,CC,bhp,kmpl
143,Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,145Nm@ 4600rpm,5.0,CC,bhp,kmpl
144,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,173Nm@ 4000rpm,5.0,CC,bhp,kmpl
145,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,CC,bhp,kmpl
146,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,550Nm@ 1750-2750rpm,7.0,CC,bhp,kmpl
147,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
148,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,490Nm@ 1600rpm,5.0,CC,bhp,kmpl
149,BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,250 Nm at 2750 rpm,5.0,CC,bhp,kmpl
150,Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,177.5Nm@ 4700rpm,5.0,CC,bhp,kmpl
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,170Nm@ 1750-4000rpm,5.0,CC,bhp,kmpl
153,Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,153Nm@ 3800rpm,5.0,CC,bhp,kmpl
154,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,177.5Nm@ 4700rpm,5.0,CC,bhp,kmpl
155,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153Nm@ 3800rpm,5.0,CC,bhp,kmpl
156,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,300Nm@ 1200-4000rpm,5.0,CC,bhp,kmpl
